가맹점명,서울페이업종명,우편번호,자치구명,기본주소,상세주소
은평6호점우리동네키움센터,기타,3377,은평구 ,서울특별시 은평구 녹번로7길 36 (녹번동),지하1층 (은평6호점 우리동네키움센터)
오야붕,음식점/식음료업,6777,서초구 ,서울 서초구 양재동,
(주)유쓰배쓰(YOUTH BATH),의류/잡화,3999,마포구 ,서울 마포구 월드컵북로,"57-7, 3층 (성산동)"
환경타임즈,기타,4721,성동구 ,서울 성동구 행당로1길,21-6 (금호동1가)
바비펫한양대,생활/리빙,4760,성동구 ,서울 성동구 마조로,"25, 106호 (행당동,제일빌딩)"
키즈스마일놀이필라테스,문화/체육,1720,노원구 ,서울 노원구 중계로18길,"17, 4층 403호 (중계동,동진프라자)"
도미노피자 노량진점,음식점/식음료업,6913,동작구 ,서울 동작구 노량진로,
(주)볼테크,가전/통신,140871,기타   ,서울 용산구 한강로2가,2-194제일빌딩1층
재미수학교습소,기술/기능 교육,3941,마포구 ,서울 마포구 월드컵북로,
세븐일레븐 뉴강동구민회관점,식자재/유통,5307,강동구 ,"서울특별시 강동구 상암로41길 3 (천호동, 천호동K빌딩)",1층
얌샘(김밥),음식점/식음료업,6937,동작구 ,"서울특별시 동작구 장승배기로11가길 11 (상도동, 상도파크자이)",11  상도파크자이상가  102호
아이봄뷰티,생활/리빙,7756,강서구 ,서울특별시 강서구 강서로16길 27,1층
작은평화,문화/체육,4009,마포구 ,서울 마포구 망원로,"62, 2층 (망원동)"
소금구이파츠,가전/통신,3704,서대문구,서울특별시 서대문구 연희로11마길 36 (연희동),왼쪽나무문
서정펫,생활/리빙,1630,노원구 ,"서울특별시 노원구 동일로 1640 (상계동, 오아시스빌딩)",
진리수학교습소,입시/교습학원,8599,금천구 ,"서울특별시 금천구 한내로 62 (독산동, 한신아파트)",
필즈더클래식광진센터학원,입시/교습학원,5117,광진구 ,"서울특별시 광진구 구의강변로 106 (구의동, 구의동삼성쉐르빌101동) 101동",
워라밸 피트니스,문화/체육,1333,도봉구 ,서울특별시 도봉구 도봉로150가길 27(방학동),지하1층
배부장찌개 독산점,음식점/식음료업,8594,금천구 ,서울 금천구 가산디지털1로,
장위센트럴타운상가,자동차/주유,2759,성북구 ,서울 성북구 월계로40길,"7, 117호 (장위동,센트럴타운)"
태을관상을요리하다,기타,3131,종로구 ,서울 종로구 돈화문로11가길,77-8 (운니동)
서울황태,음식점/식음료업,6049,강남구 ,서울 강남구 논현로150길,
명가삼계탕,음식점/식음료업,8503,금천구 ,서울특별시 금천구 가산디지털2로 144 (가산동),"지하1층 B124,125 현대테라타워 가산DK"
